,stock-price,td-change,stock-code,stock-code-prefix,stock-name,main-fund,super-fund,super-percent,big-fund,big-percent,mid-fund,mid-percent,small-fund,small-percent,unknow-code1,main_percent,f204,f205,f206
33,3.02,-0.66,200030,0,富奥B,0.0,0.0,0.0,0.0,0.0,-40963.0,-22.42,40963.0,22.42,1592981430,0.0,-,-,-
34,4.9,-0.61,200026,0,飞亚达Ｂ,0.0,0.0,0.0,0.0,0.0,-167657.0,-20.55,167658.0,20.55,1592981421,0.0,-,-,-
35,4.32,-0.46,200025,0,特  力Ｂ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592981430,0.0,-,-,-
36,2.78,0.36,200020,0,深华发Ｂ,0.0,0.0,0.0,0.0,0.0,31177.0,23.97,-31177.0,-23.97,1592981406,0.0,-,-,-
37,3.62,-0.55,200019,0,深粮B,0.0,0.0,0.0,0.0,0.0,-201867.0,-22.47,201868.0,22.47,1592981436,0.0,-,-,-
38,0.8,-2.44,200017,0,*ST中华B,0.0,0.0,0.0,0.0,0.0,2690.0,2.95,-2690.0,-2.95,1592981442,0.0,-,-,-
39,2.11,0.48,200012,0,南  玻Ｂ,0.0,0.0,0.0,0.0,0.0,-67506.0,-4.33,67506.0,4.33,1592981457,0.0,-,-,-
40,6.83,-1.01,002748,0,世龙实业,0.0,0.0,0.0,0.0,0.0,-192086.0,-4.5,192086.0,4.5,1592981448,0.0,-,-,-
41,14.16,-0.14,002718,0,友邦吊顶,0.0,0.0,0.0,0.0,0.0,769340.0,10.5,-769341.0,-10.5,1592981448,0.0,-,-,-
42,5.79,-0.17,002200,0,ST云投,0.0,0.0,0.0,0.0,0.0,-235952.0,-8.73,235952.0,8.73,1592981451,0.0,-,-,-
43,2.15,-4.87,002071,0,*ST长城,0.0,0.0,0.0,0.0,0.0,-79120.0,-5.41,79120.0,5.41,1592981460,0.0,-,-,-
44,0.408,0.49,900908,1,氯碱Ｂ股,-202.0,0.0,0.0,-202.0,-0.07,-7733.0,-2.78,7934.0,2.85,1592981440,-0.07,-,-,-
45,1.77,-1.12,600653,1,申华控股,-213.0,0.0,0.0,-213.0,0.0,-598243.0,-7.42,598455.0,7.42,1592981459,0.0,-,-,-
46,2.73,-2.5,200613,0,大东海B,-550.0,0.0,0.0,-550.0,-0.15,-48058.0,-13.41,48608.0,13.56,1592981415,-0.15,-,-,-
47,0.25,-3.85,200160,0,东沣B退,-2527.0,0.0,0.0,-2527.0,-0.46,34166.0,6.22,-31640.0,-5.76,1592981427,-0.46,-,-,-
48,1.372,0.37,900929,1,锦旅Ｂ股,-3967.0,0.0,0.0,-3967.0,-1.95,6568.0,3.23,-2600.0,-1.28,1592981460,-1.95,-,-,-
49,0.386,-1.28,900909,1,华谊B股,-3991.0,0.0,0.0,-3991.0,-6.77,-10951.0,-18.59,14943.0,25.37,1592981451,-6.77,-,-,-
0,0.247,-0.4,900938,1,海科B,-4355.0,0.0,0.0,-4355.0,-2.91,-15152.0,-10.14,19505.0,13.05,1592981443,-2.91,-,-,-
1,10.38,-1.05,002159,0,三特索道,-5294.0,0.0,0.0,-5294.0,-0.07,-683898.0,-8.59,689192.0,8.66,1592981457,-0.07,-,-,-
2,3.08,0.0,600979,1,广安爱众,-6147.0,0.0,0.0,-6147.0,-0.2,-479788.0,-15.57,485934.0,15.77,1592981451,-0.2,-,-,-
3,4.73,0.21,300187,0,永清环保,-6865.0,0.0,0.0,-6865.0,-0.04,-940833.0,-5.61,947699.0,5.65,1592981460,-0.04,-,-,-
