,rtn,pure_rtn,zz500_rtn,in_date,out_date,pub_date
002395.SZA,5.0214,4.7303999999999995,0.29000000000000004,2019-10-28,2019-10-29,2019-10-25
002772.SZA,5.9406,4.7296,1.21,2018-03-27,2018-03-28,2018-03-24
300217.SZA,2.4732,4.7021999999999995,-2.23,2019-04-10,2019-04-11,2019-04-09
002326.SZA,6.048,4.686999999999999,1.36,2019-04-02,2019-04-03,2019-03-30
300450.SZA,5.4458,4.6848,0.76,2018-07-11,2018-07-12,2018-07-10
300019.SZA,6.266399999999999,4.655399999999999,1.6099999999999999,2019-01-18,2019-01-21,2019-01-17
300577.SZA,3.1045,4.6535,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
603663.SHA,6.2085,4.6274999999999995,1.58,2019-01-07,2019-01-08,2019-01-04
002280.SZA,4.9147,4.6236999999999995,0.29000000000000004,2019-10-28,2019-10-29,2019-10-25
300563.SZA,0.41030000000000005,4.6193,-4.21,2018-10-15,2018-10-16,2018-10-12
300725.SZA,2.7895000000000003,4.6085,-1.82,2019-10-15,2019-10-16,2019-10-14
300623.SZA,3.052,4.601,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-15
601163.SHA,2.7633,4.5923,-1.8299999999999998,2019-04-29,2019-04-30,2019-04-26
300735.SZA,0.38049999999999984,4.589499999999999,-4.21,2018-10-15,2018-10-16,2018-10-12
002080.SZA,2.0658,4.5847999999999995,-2.52,2018-10-12,2018-10-15,2018-10-11
601919.SHA,5.9998000000000005,4.5788,1.42,2019-11-01,2019-11-04,2019-10-31
600875.SHA,3.0873000000000004,4.5763,-1.49,2019-01-28,2019-01-29,2019-01-25
300448.SZA,2.5356,4.574599999999999,-2.04,2018-06-27,2018-06-28,2018-06-26
002548.SZA,-0.24459999999999993,4.5744,-4.82,2019-04-25,2019-04-26,2019-04-24
002488.SZA,6.8933,4.5623,2.33,2018-04-24,2018-04-25,2018-04-23
300164.SZA,5.9226,4.561599999999999,1.36,2019-04-02,2019-04-03,2019-04-01
002640.SZA,5.7661999999999995,4.555199999999999,1.21,2018-03-27,2018-03-28,2018-03-26
300200.SZA,2.971,4.5200000000000005,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-15
601677.SHA,3.8695,4.488499999999999,-0.62,2019-10-16,2019-10-17,2019-10-15
300556.SZA,3.7281999999999997,4.467199999999999,-0.74,2018-07-17,2018-07-18,2018-07-14
300681.SZA,0.2568999999999999,4.4658999999999995,-4.21,2018-10-15,2018-10-16,2018-10-12
300235.SZA,0.1402000000000001,4.3492,-4.21,2018-10-15,2018-10-16,2018-10-12
300256.SZA,4.1955,4.3445,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
300520.SZA,2.5036,4.3326,-1.83,2019-01-30,2019-01-31,2019-01-29
300673.SZA,2.7632000000000003,4.3122,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-15
002869.SZA,11.4016,4.3006,7.1,2019-03-29,2019-04-01,2019-03-28
300353.SZA,2.5842,4.2932,-1.71,2018-04-03,2018-04-04,2018-03-31
002332.SZA,3.6125,4.291499999999999,-0.6799999999999999,2018-10-29,2018-10-30,2018-10-26
002322.SZA,8.3913,4.290299999999999,4.1,2019-04-01,2019-04-02,2019-03-29
300046.SZA,0.07979999999999998,4.288799999999999,-4.21,2018-10-15,2018-10-16,2018-10-12
833047.SHA,6.2732,4.2822000000000005,1.9899999999999998,2019-02-15,2019-02-18,2019-02-14
300620.SZA,0.056199999999999986,4.265199999999999,-4.21,2018-10-15,2018-10-16,2018-10-12
300314.SZA,2.4398,4.2588,-1.82,2019-10-15,2019-10-16,2019-10-14
300061.SZA,9.6007,4.2497,5.35,2019-02-01,2019-02-11,2019-01-31
002202.SZA,4.3530999999999995,4.232099999999999,0.12,2018-04-27,2018-05-02,2018-04-26
603773.SHA,4.3516,4.2306,0.12,2018-03-27,2018-03-28,2018-03-26
300028.SZA,0.0,4.209,-4.21,2018-10-15,2018-10-16,2018-10-12
300737.SZA,3.9981,4.1971,-0.19999999999999996,2018-04-11,2018-04-12,2018-04-10
300292.SZA,1.8599000000000006,4.1889,-2.33,2019-04-11,2019-04-12,2019-04-10
002174.SZA,5.8791,4.1880999999999995,1.69,2019-09-03,2019-09-04,2019-08-31
300206.SZA,1.8545000000000003,4.1834999999999996,-2.33,2019-04-11,2019-04-12,2019-04-10
900952.SHA,5.3579,4.1769,1.18,2019-01-28,2019-01-29,2019-01-25
002583.SZA,4.2402,4.159199999999999,0.08000000000000002,2019-07-16,2019-07-17,2019-07-15
831565.SHA,4.2402,4.159199999999999,0.08000000000000002,2019-03-01,2019-03-04,2019-02-28
603008.SHA,5.0129,4.1319,0.8800000000000001,2019-10-21,2019-10-22,2019-10-18
002831.SZA,2.7967,4.125699999999999,-1.33,2019-01-22,2019-01-23,2019-01-19
