,date,ndate,instrument,sname,hymc,forecast,forecasttype,increasel,increaset,zfpx,forecastcontent
68,2020-03-31,2020-04-15,000652.SZA,泰达股份,综合行业,increase,扭亏,100.0,201.36,150.68,"预计2020年1-3月归属于上市公司股东的净利润盈利:0万元至1,000万元。"
69,2020-03-31,2020-04-15,000859.SZA,国风塑业,塑胶制品,increase,预增,100.0,150.0,125.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:890万元至1,100万元,同比上年增长:100%至150%。"
70,2020-03-31,2020-04-15,002030.SZA,达安基因,医药制造,increase,预增,558.07,607.6,582.835,"预计2020年1-3月归属于上市公司股东的净利润盈利:18,600万元至20,000万元,同比上年增长:558.07%至607.6%。"
71,2020-03-31,2020-04-15,002019.SZA,亿帆医药,医药制造,increase,预增,90.0,130.0,110.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:27,958.84万元至33,844.92万元,同比上年增长:90%至130%。"
72,2020-03-31,2020-04-15,002012.SZA,凯恩股份,造纸印刷,increase,预增,566.67,900.0,733.335,"预计2020年1-3月归属于上市公司股东的净利润盈利:800万元至1,200万元,同比上年增长:566.67%至900%。"
73,2020-03-31,2020-04-15,000815.SZA,美利云,造纸印刷,increase,扭亏,275.21,356.41,315.81,"预计2020年1-3月归属于上市公司股东的净利润盈利:820万元至1,200万元。"
74,2020-03-31,2020-04-15,000965.SZA,天保基建,房地产,increase,扭亏,532.58,583.47,558.025,"预计2020年1-3月归属于上市公司股东的净利润盈利:8,500万元至9,500万元,同比上年增长:532.58%至583.47%。"
75,2020-03-31,2020-04-15,002041.SZA,登海种业,农牧饲渔,increase,预增,585.0,635.0,610.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:3,227.38万元至3,462.95万元,同比上年增长:585%至635%。"
76,2020-03-31,2020-04-15,002583.SZA,海能达,通讯行业,increase,扭亏,320.41,430.61,375.51,"预计2020年1-3月归属于上市公司股东的净利润盈利:22,000万元至33,000万元。"
77,2020-03-31,2020-04-15,002708.SZA,光洋股份,汽车行业,increase,扭亏,125.73,133.3,129.515,预计2020年1-3月归属于上市公司股东的净利润盈利:170万元至220万元。
78,2020-03-31,2020-04-15,002749.SZA,国光股份,农药兽药,increase,略增,10.0,20.0,15.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:5,237.4万元至5,713.52万元,同比上年增长:10%至20%。"
79,2020-03-31,2020-04-15,002801.SZA,微光股份,机械行业,increase,略增,20.0,50.0,35.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:3,750.64万元至4,688.3万元,同比上年增长:20%至50%。"
80,2020-03-31,2020-04-15,002715.SZA,登云股份,汽车行业,increase,扭亏,136.25,154.37,145.31,预计2020年1-3月归属于上市公司股东的净利润盈利:150万元至225万元。
81,2020-03-31,2020-04-15,002260.SZA,*ST德奥,家电行业,increase,扭亏,426.34,507.93,467.135,"预计2020年1-3月归属于上市公司股东的净利润盈利:2,800万元至3,500万元。"
82,2020-03-31,2020-04-15,002213.SZA,特尔佳,汽车行业,increase,扭亏,111.63,117.44,114.535,预计2020年1-3月归属于上市公司股东的净利润盈利:32万元至48万元。
83,2020-03-31,2020-04-15,002560.SZA,通达股份,输配电气,increase,预增,44.69,73.63,59.16,"预计2020年1-3月归属于上市公司股东的净利润盈利:5,000万元至6,000万元,同比上年增长:44.69%至73.63%。"
84,2020-03-31,2020-04-15,002086.SZA,*ST东洋,农牧饲渔,increase,预增,9844.75,13159.67,11502.21,"预计2020年1-3月归属于上市公司股东的净利润盈利:3,600万元至4,800万元,同比上年增长:9844.75%至13159.67%。"
