n,date,ndate,instrument,,,
,2019-03-31,2019-03-28,002643.SZA,,,
,2019-03-31,2019-04-10,300599.SZA,,,
,2019-03-31,2019-04-10,300505.SZA,,,
,2019-03-31,2019-04-04,300192.SZA,,,
,2019-03-31,2019-04-09,300515.SZA,,,
,2019-03-31,2019-03-23,002020.SZA,,,
,2019-03-31,2019-04-08,300347.SZA,,,
,2019-03-31,2019-03-13,002916.SZA,,,
,2019-03-31,2019-03-30,300303.SZA,,,
,2019-03-31,2019-04-15,000938.SZA,,,
,2019-03-31,2019-03-30,002373.SZA,,,
,2019-03-31,2019-04-09,300202.SZA,,,
,2019-03-31,2019-03-30,300190.SZA,,,
,2019-03-31,2019-03-30,002768.SZA,,,
,2019-03-31,2019-03-30,002635.SZA,,,
,2019-03-31,2019-03-30,002611.SZA,,,
,2019-03-31,2019-04-12,002947.SZA,,,
,2019-03-31,2019-04-09,300755.SZA,,,
,2019-03-31,2019-04-13,000975.SZA,,,
,2019-03-31,2019-03-28,300346.SZA,,,
,2019-03-31,2019-04-08,300677.SZA,,,
,2019-03-31,2019-03-29,002137.SZA,,,
,2019-03-31,2019-04-12,200016.SZA,,,
,2019-03-31,2019-04-12,000016.SZA,,,
,2019-03-31,2019-04-12,603601.SHA,,,
,2019-03-31,2019-03-29,300570.SZA,,,
,2019-03-31,2019-03-30,002129.SZA,,,
,2019-03-31,2019-04-03,000420.SZA,,,
,2019-03-31,2019-04-12,000988.SZA,,,
,2019-03-31,2019-04-13,000685.SZA,,,
,2019-03-31,2019-03-30,002043.SZA,,,
,2019-03-31,2019-04-08,300470.SZA,,,
,2019-03-31,2019-04-09,300533.SZA,,,
,2019-03-31,2019-03-06,002125.SZA,,,
,2019-03-31,2019-03-21,300034.SZA,,,
,2019-03-31,2019-03-26,000739.SZA,,,
,2019-03-31,2019-04-09,300627.SZA,,,
,2019-03-31,2019-04-09,300044.SZA,,,
,2019-03-31,2019-03-30,002705.SZA,,,
,2019-03-31,2019-04-13,002150.SZA,,,
,2019-03-31,2019-04-02,600438.SHA,,,
,2019-03-31,2019-04-09,300232.SZA,,,
,2019-03-31,2019-03-26,002135.SZA,,,
,2019-03-31,2019-04-15,000977.SZA,,,
,2019-03-31,2019-04-02,601058.SHA,,,
,2019-03-31,2019-03-30,002010.SZA,,,
,2019-03-31,2019-04-08,300390.SZA,,,
,2019-03-31,2019-03-30,002568.SZA,,,
,2019-03-31,2019-03-30,002382.SZA,,,
,2019-03-31,2019-04-11,002296.SZA,,,
,2019-03-31,2019-04-03,002832.SZA,,,
,2019-03-31,2019-03-20,002836.SZA,,,
,2019-03-31,2019-03-30,002837.SZA,,,
,2019-03-31,2019-03-20,002801.SZA,,,
,2019-03-31,2019-04-09,300640.SZA,,,
,2019-03-31,2019-03-30,002777.SZA,,,
,2019-03-31,2019-04-10,000951.SZA,,,
,2019-03-31,2019-04-08,000722.SZA,,,
,2019-03-31,2019-02-25,002930.SZA,,,
,2019-03-31,2019-04-10,300031.SZA,,,
,2019-03-31,2019-04-13,000859.SZA,,,
,2019-03-31,2019-03-29,002627.SZA,,,
,2019-03-31,2019-04-13,002795.SZA,,,
,2019-03-31,2019-04-13,000878.SZA,,,
,2019-03-31,2019-04-10,300292.SZA,,,
,2019-03-31,2019-02-28,300285.SZA,,,
,2019-03-31,2019-04-13,000928.SZA,,,
,2019-03-31,2019-04-08,000810.SZA,,,
,2019-03-31,2019-03-25,300448.SZA,,,
,2019-03-31,2019-04-09,300631.SZA,,,
,2019-03-31,2019-04-19,603388.SHA,,,
,2019-03-31,2019-04-09,300725.SZA,,,
,2019-03-31,2019-04-10,300662.SZA,,,
,2019-03-31,2019-04-13,600113.SHA,,,
,2019-03-31,2019-03-07,002952.SZA,,,
,2019-03-31,2019-03-26,300699.SZA,,,
,2019-03-31,2019-04-11,000629.SZA,,,
,2019-03-31,2019-04-10,000600.SZA,,,
,2019-03-31,2019-04-12,300769.SZA,,,
,2019-03-31,2019-04-13,000637.SZA,,,
,2019-03-31,2019-04-13,000935.SZA,,,
,2019-03-31,2019-04-22,603267.SHA,,,
,2019-03-31,2019-03-27,300567.SZA,,,
,2019-03-31,2019-03-27,000661.SZA,,,
,2019-03-31,2019-03-29,300715.SZA,,,
,2019-03-31,2019-04-08,002825.SZA,,,
,2019-03-31,2019-03-25,002735.SZA,,,
,2019-03-31,2019-04-11,002079.SZA,,,
,2019-03-31,2019-04-10,300479.SZA,,,
,2019-03-31,2019-04-10,300142.SZA,,,
,2019-03-31,2019-04-09,300276.SZA,,,
,2019-03-31,2019-04-09,300593.SZA,,,
,2019-03-31,2019-04-23,002394.SZA,,,
,2019-03-31,2019-04-13,002436.SZA,,,
,2019-03-31,2019-04-10,300697.SZA,,,
,2019-03-31,2019-04-18,300770.SZA,,,
,2019-03-31,2019-03-28,300738.SZA,,,
,2019-03-31,2019-03-22,300575.SZA,,,
,2019-03-31,2019-04-13,603258.SHA,,,
,2019-03-31,2019-04-09,300300.SZA,,,
,2019-03-31,2019-04-16,603187.SHA,,,
,2019-03-31,2019-04-12,000801.SZA,,,
,2019-03-31,2019-04-09,300082.SZA,,,
,2019-03-31,2019-04-09,300425.SZA,,,
,2019-03-31,2019-03-11,300559.SZA,,,
,2019-03-31,2019-04-13,000776.SZA,,,
,2019-03-31,2019-04-11,002398.SZA,,,
,2019-03-31,2019-04-10,300691.SZA,,,
,2019-03-31,2019-03-27,002036.SZA,,,
,2019-03-31,2019-03-29,002475.SZA,,,
,2019-03-31,2019-03-30,002255.SZA,,,
,2019-03-31,2019-04-09,300341.SZA,,,
,2019-03-31,2019-03-18,300212.SZA,,,
,2019-03-31,2019-04-09,000922.SZA,,,
,2019-03-31,2019-03-11,300531.SZA,,,
,2019-03-31,2019-01-30,300005.SZA,,,
,2019-03-31,2019-02-27,300010.SZA,,,
,2019-03-31,2019-04-13,000155.SZA,,,
,2019-03-31,2019-02-26,300260.SZA,,,
,2019-03-31,2019-04-13,000750.SZA,,,
,2019-03-31,2019-04-13,200771.SZA,,,
,2019-03-31,2019-03-30,002799.SZA,,,
,2019-03-31,2019-04-09,300737.SZA,,,
,2019-03-31,2019-03-29,300003.SZA,,,
,2019-03-31,2019-04-13,000623.SZA,,,
,2019-03-31,2019-04-15,002730.SZA,,,
,2019-03-31,2019-03-18,002425.SZA,,,
,2019-03-31,2019-04-19,601628.SHA,,,
,2019-03-31,2019-04-08,002790.SZA,,,
,2019-03-31,2019-04-10,300643.SZA,,,
,2019-03-31,2019-04-04,000795.SZA,,,
,2019-03-31,2019-04-13,000655.SZA,,,
,2019-03-31,2019-04-15,000425.SZA,,,
,2019-03-31,2019-04-13,000590.SZA,,,
,2019-03-31,2019-04-13,201872.SZA,,,
,2019-03-31,2019-04-13,001872.SZA,,,
,2019-03-31,2019-04-10,300200.SZA,,,
,2019-03-31,2019-03-20,002731.SZA,,,
,2019-03-31,2019-04-13,000009.SZA,,,
,2019-03-31,2019-04-13,000045.SZA,,,
,2019-03-31,2019-04-13,200045.SZA,,,
,2019-03-31,2019-04-09,300348.SZA,,,
,2019-03-31,2019-04-10,600801.SHA,,,
,2019-03-31,2019-04-04,300122.SZA,,,
,2019-03-31,2019-04-10,900933.SHA,,,
,2019-03-31,2019-03-26,002674.SZA,,,
,2019-03-31,2019-03-30,300391.SZA,,,
,2019-03-31,2019-04-10,002882.SZA,,,
,2019-03-31,2019-03-29,002300.SZA,,,
,2019-03-31,2019-03-20,300263.SZA,,,
,2019-03-31,2019-03-26,002438.SZA,,,
,2019-03-31,2019-03-29,002851.SZA,,,
,2019-03-31,2019-04-15,002757.SZA,,,
,2019-03-31,2019-04-15,000606.SZA,,,
,2019-03-31,2019-04-11,000713.SZA,,,
,2019-03-31,2019-03-12,300690.SZA,,,
,2019-03-31,2019-04-03,000563.SZA,,,
,2019-03-31,2019-03-11,300550.SZA,,,
,2019-03-31,2019-03-26,002463.SZA,,,
,2019-03-31,2019-04-13,000416.SZA,,,
,2019-03-31,2019-04-09,300110.SZA,,,
,2019-03-31,2019-02-28,002616.SZA,,,
,2019-03-31,2019-03-30,002106.SZA,,,
,2019-03-31,2019-04-02,300630.SZA,,,
,2019-03-31,2019-03-05,002181.SZA,,,
,2019-03-31,2019-03-30,002528.SZA,,,
,2019-03-31,2019-04-10,300277.SZA,,,
,2019-03-31,2019-03-12,002810.SZA,,,
,2019-03-31,2019-03-26,600278.SHA,,,
,2019-03-31,2019-03-25,002250.SZA,,,
,2019-03-31,2019-03-30,002154.SZA,,,
,2019-03-31,2019-03-30,002112.SZA,,,
,2019-03-31,2019-03-30,002452.SZA,,,
,2019-03-31,2019-03-12,002655.SZA,,,
,2019-03-31,2019-03-30,002134.SZA,,,
,2019-03-31,2019-04-15,600031.SHA,,,
,2019-03-31,2019-03-26,300506.SZA,,,
,2019-03-31,2019-03-30,002246.SZA,,,
,2019-03-31,2019-03-28,002457.SZA,,,
,2019-03-31,2019-04-09,300456.SZA,,,
,2019-03-31,2019-04-09,300328.SZA,,,
,2019-03-31,2019-03-19,002195.SZA,,,
,2019-03-31,2019-04-10,300632.SZA,,,
,2019-03-31,2019-03-30,002485.SZA,,,
,2019-03-31,2019-03-30,002313.SZA,,,
,2019-03-31,2019-03-22,002800.SZA,,,
,2019-03-31,2019-03-28,002486.SZA,,,
,2019-03-31,2019-03-30,002506.SZA,,,
,2019-03-31,2019-04-09,300572.SZA,,,
,2019-03-31,2019-04-10,300674.SZA,,,
,2019-03-31,2019-04-09,300139.SZA,,,
,2019-03-31,2019-04-09,603026.SHA,,,
,2019-03-31,2019-04-10,300370.SZA,,,
,2019-03-31,2019-04-12,000762.SZA,,,
,2019-03-31,2019-03-30,002204.SZA,,,
,2019-03-31,2019-04-13,000502.SZA,,,
,2019-03-31,2019-04-13,000010.SZA,,,
,2019-03-31,2019-04-13,000767.SZA,,,
,2019-03-31,2019-04-08,300106.SZA,,,
,2019-03-31,2019-04-22,300163.SZA,,,
,2019-03-31,2019-04-09,300123.SZA,,,
,2019-03-31,2019-03-12,002648.SZA,,,
,2019-03-31,2019-04-16,600655.SHA,,,
,2019-03-31,2019-04-13,000422.SZA,,,
,2019-03-31,2019-04-13,000816.SZA,,,
,2019-03-31,2019-04-10,300330.SZA,,,
,2019-03-31,2019-03-29,002571.SZA,,,
,2019-03-31,2019-04-13,000707.SZA,,,
,2019-03-31,2019-03-29,002791.SZA,,,
,2019-03-31,2019-04-10,000401.SZA,,,
,2019-03-31,2019-03-29,002504.SZA,,,
,2019-03-31,2019-04-13,000548.SZA,,,
,2019-03-31,2019-04-12,000790.SZA,,,
,2019-03-31,2019-04-12,000737.SZA,,,
,2019-03-31,2019-04-13,000962.SZA,,,
,2019-03-31,2019-04-10,600720.SHA,,,
,2019-03-31,2019-04-13,000712.SZA,,,
,2019-03-31,2019-04-09,000987.SZA,,,
,2019-03-31,2019-04-10,300149.SZA,,,
,2019-03-31,2019-04-10,300680.SZA,,,
,2019-03-31,2019-04-13,000672.SZA,,,
,2019-03-31,2019-04-09,300291.SZA,,,
,2019-03-31,2019-04-10,000852.SZA,,,
,2019-03-31,2019-04-13,000868.SZA,,,
,2019-03-31,2019-03-30,002200.SZA,,,
,2019-03-31,2019-04-10,300499.SZA,,,
,2019-03-31,2019-03-28,000063.SZA,,,
,2019-03-31,2019-04-13,000917.SZA,,,
,2019-03-31,2019-04-01,300248.SZA,,,
,2019-03-31,2019-04-15,000821.SZA,,,
,2019-03-31,2019-04-13,000893.SZA,,,
,2019-03-31,2019-03-28,002552.SZA,,,
,2019-03-31,2019-04-09,300688.SZA,,,
,2019-03-31,2019-03-29,002322.SZA,,,
,2019-03-31,2019-03-23,002564.SZA,,,
,2019-03-31,2019-04-10,600096.SHA,,,
,2019-03-31,2019-03-28,000615.SZA,,,
,2019-03-31,2019-04-13,000593.SZA,,,
,2019-03-31,2019-04-09,300332.SZA,,,
,2019-03-31,2019-04-10,000920.SZA,,,
,2019-03-31,2019-04-15,001896.SZA,,,
,2019-03-31,2019-04-02,300014.SZA,,,
,2019-03-31,2019-04-09,300112.SZA,,,
,2019-03-31,2019-03-30,002554.SZA,,,
