Code,Sname,ts_code
300085,银之杰,300085.SZ
300088,长信科技,300088.SZ
300091,金通灵,300091.SZ
300098,高新兴,300098.SZ
300099,精准信息,300099.SZ
300101,振芯科技,300101.SZ
300110,华仁药业,300110.SZ
300113,顺网科技,300113.SZ
300115,长盈精密,300115.SZ
300118,东方日升,300118.SZ
300122,智飞生物,300122.SZ
300123,亚光科技,300123.SZ
300124,汇川技术,300124.SZ
300128,锦富技术,300128.SZ
300130,新国都,300130.SZ
300133,华策影视,300133.SZ
300134,大富科技,300134.SZ
300136,信维通信,300136.SZ
300139,晓程科技,300139.SZ
300142,沃森生物,300142.SZ
300144,宋城演艺,300144.SZ
300145,中金环境,300145.SZ
300146,汤臣倍健,300146.SZ
300147,香雪制药,300147.SZ
300152,科融环境,300152.SZ
300157,恒泰艾普,300157.SZ
300166,东方国信,300166.SZ
300168,万达信息,300168.SZ
300170,汉得信息,300170.SZ
300174,元力股份,300174.SZ
300177,中海达,300177.SZ
300180,华峰超纤,300180.SZ
300182,捷成股份,300182.SZ
300183,东软载波,300183.SZ
300188,美亚柏科,300188.SZ
300189,神农科技,300189.SZ
300191,潜能恒信,300191.SZ
300194,福安药业,300194.SZ
300197,铁汉生态,300197.SZ
300199,翰宇药业,300199.SZ
300202,聚龙股份,300202.SZ
300203,聚光科技,300203.SZ
300205,天喻信息,300205.SZ
300207,欣旺达,300207.SZ
300212,易华录,300212.SZ
300222,科大智能,300222.SZ
300223,北京君正,300223.SZ
300226,上海钢联,300226.SZ
300232,洲明科技,300232.SZ
300236,上海新阳,300236.SZ
300237,美晨生态,300237.SZ
300244,迪安诊断,300244.SZ
300245,天玑科技,300245.SZ
300251,光线传媒,300251.SZ
300253,卫宁健康,300253.SZ
300256,星星科技,300256.SZ
300257,开山股份,300257.SZ
300266,兴源环境,300266.SZ
300267,尔康制药,300267.SZ
300271,华宇软件,300271.SZ
300273,和佳股份,300273.SZ
300274,阳光电源,300274.SZ
300284,苏交科,300284.SZ
300285,国瓷材料,300285.SZ
300287,飞利信,300287.SZ
300294,博雅生物,300294.SZ
300296,利亚德,300296.SZ
300297,蓝盾股份,300297.SZ
300299,富春股份,300299.SZ
300300,汉鼎宇佑,300300.SZ
300302,同有科技,300302.SZ
300308,中际旭创,300308.SZ
300310,宜通世纪,300310.SZ
300311,任子行,300311.SZ
300315,掌趣科技,300315.SZ
300316,晶盛机电,300316.SZ
300322,硕贝德,300322.SZ
300324,旋极信息,300324.SZ
300326,凯利泰,300326.SZ
300327,中颖电子,300327.SZ
300328,宜安科技,300328.SZ
300333,兆日科技,300333.SZ
300339,润和软件,300339.SZ
300342,天银机电,300342.SZ
300343,联创股份,300343.SZ
300346,南大光电,300346.SZ
300347,泰格医药,300347.SZ
300348,长亮科技,300348.SZ
300349,金卡智能,300349.SZ
300352,北信源,300352.SZ
300353,东土科技,300353.SZ
300355,蒙草生态,300355.SZ
300356,光一科技,300356.SZ
300357,我武生物,300357.SZ
300366,创意信息,300366.SZ
300367,东方网力,300367.SZ
300369,绿盟科技,300369.SZ
300370,安控科技,300370.SZ
300373,扬杰科技,300373.SZ
300377,赢时胜,300377.SZ
300378,鼎捷软件,300378.SZ
300379,东方通,300379.SZ
300383,光环新网,300383.SZ
300394,天孚通信,300394.SZ
300397,天和防务,300397.SZ
300398,飞凯材料,300398.SZ
300401,花园生物,300401.SZ
300408,三环集团,300408.SZ
300413,芒果超媒,300413.SZ
300414,中光防雷,300414.SZ
300418,昆仑万维,300418.SZ
300429,强力新材,300429.SZ
300433,蓝思科技,300433.SZ
300450,先导智能,300450.SZ
300451,创业慧康,300451.SZ
300454,深信服,300454.SZ
300457,赢合科技,300457.SZ
300458,全志科技,300458.SZ
300463,迈克生物,300463.SZ
300471,厚普股份,300471.SZ
300474,景嘉微,300474.SZ
300476,胜宏科技,300476.SZ
300482,万孚生物,300482.SZ
300493,润欣科技,300493.SZ
300495,美尚生态,300495.SZ
300496,中科创达,300496.SZ
300498,温氏股份,300498.SZ
300502,新易盛,300502.SZ
300527,中国应急,300527.SZ
300529,健帆生物,300529.SZ
300558,贝达药业,300558.SZ
300561,汇金科技,300561.SZ
300567,精测电子,300567.SZ
300595,欧普康视,300595.SZ
300598,诚迈科技,300598.SZ
300601,康泰生物,300601.SZ
300602,飞荣达,300602.SZ
300618,寒锐钴业,300618.SZ
300628,亿联网络,300628.SZ
300630,普利制药,300630.SZ
300638,广和通,300638.SZ
300663,科蓝软件,300663.SZ
300666,江丰电子,300666.SZ
300676,华大基因,300676.SZ
300679,电连技术,300679.SZ
300699,光威复材,300699.SZ
300725,药石科技,300725.SZ
300726,宏达电子,300726.SZ
300735,光弘科技,300735.SZ
300739,明阳电路,300739.SZ
300747,锐科激光,300747.SZ
300750,宁德时代,300750.SZ
300760,迈瑞医疗,300760.SZ
300761,立华股份,300761.SZ
300762,上海瀚讯,300762.SZ
300768,迪普科技,300768.SZ
300770,新媒股份,300770.SZ
300773,拉卡拉,300773.SZ
