,date,ndate,instrument,hymc,forecast,forecasttype,increasel,increaset,zfpx
228,2019-12-31,2019-10-22,000555.SZA,电子信息,increase,预增,755.18,850.2,802.69
229,2019-12-31,2019-10-25,002130.SZA,材料行业,increase,预增,900.0,950.0,925.0
230,2019-12-31,2019-10-24,002560.SZA,输配电气,increase,扭亏,965.37,1051.9,1008.635
231,2019-12-31,2019-10-30,603315.SHA,机械行业,increase,预增,1209.61,1209.61,1209.61
232,2019-12-31,2019-10-25,002367.SZA,机械行业,increase,预增,1443.63,1572.26,1507.945
233,2019-12-31,2019-10-28,002291.SZA,纺织服装,increase,预增,1579.05,2138.74,1858.895
234,2019-12-31,2019-10-30,000985.SZA,石油行业,increase,扭亏,1801.39,2113.89,1957.64
235,2019-12-31,2019-12-24,300464.SZA,金属制品,increase,预增,7727.79,7727.79,7727.79
236,2019-12-31,2019-10-25,601958.SHA,有色金属,increase,略增,,,
237,2019-12-31,2019-10-29,300447.SZA,输配电气,increase,扭亏,,,
238,2019-12-31,2019-10-29,603508.SHA,电子信息,increase,预增,,,
239,2019-12-31,2019-10-28,300291.SZA,文化传媒,increase,扭亏,,,
240,2019-12-31,2019-10-31,600469.SHA,汽车行业,increase,略增,,,
241,2019-12-31,2019-10-30,600287.SHA,商业百货,increase,预增,,,
242,2019-12-31,2019-10-30,600894.SHA,专用设备,increase,略增,,,
243,2019-12-31,2019-10-30,603997.SHA,汽车行业,increase,略增,,,
244,2019-12-31,2019-10-31,600499.SHA,机械行业,increase,扭亏,,,
245,2019-12-31,2019-10-31,600661.SHA,文教休闲,increase,扭亏,,,
246,2019-12-31,2019-10-29,300520.SZA,软件服务,increase,略增,,,
247,2019-12-31,2019-10-31,600662.SHA,交运物流,increase,略增,,,
248,2019-12-31,2019-10-31,603577.SHA,输配电气,increase,略增,,,
249,2019-12-31,2019-10-31,603111.SHA,交运设备,increase,扭亏,,,
250,2019-12-31,2019-10-30,300292.SZA,通讯行业,increase,扭亏,,,
251,2019-12-31,2019-10-30,600671.SHA,医药制造,increase,扭亏,,,
252,2019-12-31,2019-10-29,600266.SHA,房地产,increase,略增,,,
253,2019-12-31,2019-10-30,600732.SHA,房地产,increase,略增,,,
254,2019-12-31,2019-10-31,601919.SHA,港口水运,increase,预增,,,
255,2019-12-31,2019-10-30,300411.SZA,机械行业,increase,扭亏,,,
256,2019-12-31,2019-10-30,601615.SHA,专用设备,increase,略增,,,
257,2019-12-31,2019-10-30,300018.SZA,输配电气,increase,扭亏,,,
258,2019-12-31,2019-10-29,600608.SHA,金属制品,increase,扭亏,,,
259,2019-12-31,2019-10-30,300148.SZA,文化传媒,increase,扭亏,,,
260,2019-12-31,2019-10-29,601567.SHA,仪器仪表,increase,略增,,,
261,2019-12-31,2019-10-30,600727.SHA,化肥行业,increase,预增,,,
262,2019-12-31,2019-10-30,300552.SZA,软件服务,increase,预增,,,
263,2019-12-31,2019-10-30,603398.SHA,工艺商品,increase,略增,,,
264,2019-12-31,2019-10-22,600866.SHA,食品饮料,increase,略增,,,
265,2019-12-31,2019-10-26,600647.SHA,综合行业,increase,扭亏,,,
266,2019-12-31,2019-10-25,603609.SHA,农牧饲渔,increase,略增,,,
267,2019-12-31,2019-10-24,600778.SHA,商业百货,increase,预增,,,
268,2019-12-31,2019-10-22,603360.SHA,化工行业,increase,略增,,,
269,2019-12-31,2019-10-26,300095.SZA,机械行业,increase,扭亏,,,
270,2019-12-31,2019-10-25,300702.SZA,医药制造,increase,预增,,,
271,2019-12-31,2019-10-30,300226.SZA,电子信息,increase,略增,,,
272,2019-12-31,2019-07-26,600988.SHA,贵金属,increase,扭亏,,,
273,2019-12-31,2019-10-31,600745.SHA,通讯行业,increase,预增,,,
274,2019-12-31,2019-10-26,603727.SHA,石油行业,increase,略增,,,
275,2019-12-31,2019-10-18,300234.SZA,材料行业,increase,扭亏,,,
276,2019-12-31,2019-10-25,900946.SHA,交运设备,increase,扭亏,,,
277,2019-12-31,2019-10-18,603008.SHA,木业家具,increase,扭亏,,,
278,2019-12-31,2019-10-23,600794.SHA,交运物流,increase,预增,,,
279,2019-12-31,2019-10-25,603160.SHA,电子元件,increase,预增,,,
280,2019-12-31,2019-10-25,300345.SZA,金属制品,increase,扭亏,,,
281,2019-12-31,2019-10-29,603068.SHA,电子元件,increase,预增,,,
282,2019-12-31,2019-10-29,600868.SHA,电力行业,increase,预增,,,
283,2019-12-31,2019-10-29,603309.SHA,医疗行业,increase,预增,,,
284,2019-12-31,2019-10-29,603218.SHA,机械行业,increase,预增,,,
285,2019-12-31,2019-10-29,603208.SHA,木业家具,increase,略增,,,
286,2019-12-31,2019-10-23,601975.SHA,港口水运,increase,预增,,,
287,2019-12-31,2019-10-29,600777.SHA,石油行业,increase,预增,,,
288,2019-12-31,2019-10-29,603586.SHA,汽车行业,increase,略增,,,
289,2019-12-31,2019-10-25,601163.SHA,塑胶制品,increase,预增,,,
290,2019-12-31,2019-10-25,600698.SHA,交运设备,increase,扭亏,,,
291,2019-12-31,2019-10-29,300603.SZA,软件服务,increase,预增,,,
292,2019-12-31,2019-10-26,600171.SHA,电子元件,increase,略增,,,
293,2019-12-31,2019-10-29,603033.SHA,塑胶制品,increase,预增,,,
294,2019-12-31,2019-10-26,600084.SHA,酿酒行业,increase,扭亏,,,
295,2019-12-31,2019-10-29,601898.SHA,煤炭采选,increase,预增,,,
296,2019-12-31,2019-10-28,300218.SZA,化工行业,increase,略增,,,
297,2019-12-31,2019-10-25,300055.SZA,环保工程,increase,扭亏,,,
298,2019-12-31,2019-10-28,601218.SHA,专用设备,increase,扭亏,,,
299,2019-12-31,2019-10-26,600222.SHA,医药制造,increase,扭亏,,,
300,2020-03-31,2020-04-09,300281.SZA,机械行业,increase,略增,0.0,30.0,15.0
301,2020-03-31,2020-04-10,300603.SZA,软件服务,increase,略增,0.0,15.0,7.5
302,2020-03-31,2020-04-07,300007.SZA,仪器仪表,increase,略增,0.0,15.0,7.5
303,2020-03-31,2020-04-07,300238.SZA,医疗行业,increase,略增,0.0,20.0,10.0
